timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,cart_upstream_error_rate,product_upstream_error_rate,active_connections
2026-06-01T00:00:00Z,59.96,11.9,1.5,0.3,0.09,330
2026-06-01T00:00:30Z,65.85,48.8,1.42,0.27,0.12,350
2026-06-01T00:01:00Z,63.19,32.2,0.0,0.24,0.02,374
2026-06-01T00:01:30Z,60.26,44.2,0.45,0.0,0.03,334
2026-06-01T00:02:00Z,54.73,17.0,0.0,0.46,0.19,342
2026-06-01T00:02:30Z,61.0,39.8,0.0,0.43,0.22,346
2026-06-01T00:03:00Z,61.96,10.0,0.58,0.79,0.01,327
2026-06-01T00:03:30Z,66.47,23.1,0.0,0.14,0.21,362
2026-06-01T00:04:00Z,54.64,35.7,1.02,0.04,0.07,352
2026-06-01T00:04:30Z,68.0,22.3,0.74,0.12,0.01,353
2026-06-01T00:05:00Z,62.47,15.3,0.0,0.76,0.05,356
2026-06-01T00:05:30Z,44.48,27.4,1.16,0.7,0.12,351
2026-06-01T00:06:00Z,59.88,15.4,0.52,0.03,0.29,333
2026-06-01T00:06:30Z,58.85,10.0,0.18,0.79,0.13,356
2026-06-01T00:07:00Z,60.17,22.2,1.12,0.54,0.1,357
2026-06-01T00:07:30Z,64.64,35.8,1.06,0.31,0.07,333
2026-06-01T00:08:00Z,71.05,10.0,0.5,0.69,0.1,351
2026-06-01T00:08:30Z,53.31,16.3,0.86,0.55,0.29,340
2026-06-01T00:09:00Z,62.14,25.4,0.0,0.18,0.14,335
2026-06-01T00:09:30Z,46.97,21.5,0.83,0.42,0.23,377
2026-06-01T00:10:00Z,52.69,36.3,0.83,0.55,0.23,362
2026-06-01T00:10:30Z,66.47,25.4,0.0,0.77,0.2,388
2026-06-01T00:11:00Z,57.01,10.0,0.0,0.57,0.27,347
2026-06-01T00:11:30Z,62.39,37.5,0.0,0.75,0.07,322
2026-06-01T00:12:00Z,51.51,20.2,0.0,0.09,0.05,353
2026-06-01T00:12:30Z,69.04,10.2,0.0,0.75,0.03,350
2026-06-01T00:13:00Z,62.31,12.9,0.57,0.7,0.06,343
2026-06-01T00:13:30Z,68.62,44.8,0.0,0.58,0.24,349
2026-06-01T00:14:00Z,66.09,10.0,0.0,0.37,0.14,347
2026-06-01T00:14:30Z,54.61,30.5,0.15,0.27,0.21,344
2026-06-01T00:15:00Z,64.65,49.6,0.0,0.72,0.2,372
2026-06-01T00:15:30Z,61.77,16.1,1.5,0.27,0.09,359
2026-06-01T00:16:00Z,54.31,46.1,1.5,0.76,0.29,342
2026-06-01T00:16:30Z,71.07,10.0,0.72,0.04,0.11,349
2026-06-01T00:17:00Z,71.62,11.9,0.0,0.54,0.23,339
2026-06-01T00:17:30Z,66.17,22.3,0.0,0.3,0.09,352
2026-06-01T00:18:00Z,54.41,17.0,0.0,0.29,0.06,358
2026-06-01T00:18:30Z,63.6,17.3,1.41,0.36,0.08,336
2026-06-01T00:19:00Z,63.2,21.4,0.0,0.77,0.21,344
2026-06-01T00:19:30Z,59.13,26.6,0.0,0.67,0.14,343
2026-06-01T00:20:00Z,64.85,75.3,0.0,0.01,0.01,361
2026-06-01T00:20:30Z,59.18,23.8,0.0,0.25,0.16,345
2026-06-01T00:21:00Z,59.89,30.2,0.0,0.55,0.21,369
2026-06-01T00:21:30Z,61.77,10.0,0.0,0.15,0.26,345
2026-06-01T00:22:00Z,61.64,28.9,0.0,0.05,0.15,336
2026-06-01T00:22:30Z,63.42,27.2,0.67,0.67,0.06,356
2026-06-01T00:23:00Z,59.46,19.1,0.0,0.36,0.09,365
2026-06-01T00:23:30Z,54.97,36.1,0.47,0.39,0.13,332
2026-06-01T00:24:00Z,56.3,10.0,0.0,0.44,0.2,350
2026-06-01T00:24:30Z,61.54,21.9,0.0,0.39,0.22,336
2026-06-01T00:25:00Z,70.03,30.8,0.64,0.18,0.18,341
2026-06-01T00:25:30Z,59.97,34.0,1.05,0.36,0.19,341
2026-06-01T00:26:00Z,55.64,37.5,0.28,0.05,0.21,357
2026-06-01T00:26:30Z,53.02,30.1,0.08,0.58,0.08,353
2026-06-01T00:27:00Z,72.76,25.9,0.0,0.49,0.05,362
2026-06-01T00:27:30Z,67.33,33.5,0.96,0.16,0.22,330
2026-06-01T00:28:00Z,68.18,44.5,0.0,0.18,0.25,329
2026-06-01T00:28:30Z,49.98,10.7,0.0,0.24,0.18,379
2026-06-01T00:29:00Z,61.22,10.0,1.5,0.58,0.04,336
2026-06-01T00:29:30Z,57.14,10.0,0.15,0.39,0.11,336
2026-06-01T00:30:00Z,58.27,39.3,0.64,0.32,0.01,346
2026-06-01T00:30:30Z,57.42,10.0,0.0,0.65,0.07,327
2026-06-01T00:31:00Z,55.51,36.7,0.0,0.58,0.07,354
