timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate
2026-06-01T00:00:00Z,22.95,20.0,0.57,0.98
2026-06-01T00:00:30Z,18.71,47.7,0.48,0.36
2026-06-01T00:01:00Z,21.32,27.0,0.64,0.71
2026-06-01T00:01:30Z,24.33,20.0,0.62,0.91
2026-06-01T00:02:00Z,29.36,20.0,0.61,0.72
2026-06-01T00:02:30Z,27.56,60.5,0.26,0.61
2026-06-01T00:03:00Z,21.78,30.3,0.27,0.67
2026-06-01T00:03:30Z,25.67,45.3,0.12,0.5
2026-06-01T00:04:00Z,23.79,35.0,0.28,0.16
2026-06-01T00:04:30Z,26.68,41.5,0.63,0.33
2026-06-01T00:05:00Z,23.81,34.4,0.58,0.91
2026-06-01T00:05:30Z,20.12,34.5,0.38,0.56
2026-06-01T00:06:00Z,27.85,20.0,0.23,0.72
2026-06-01T00:06:30Z,28.74,41.6,0.53,0.78
2026-06-01T00:07:00Z,18.02,24.6,0.03,0.55
2026-06-01T00:07:30Z,26.03,26.7,0.07,0.49
2026-06-01T00:08:00Z,27.11,35.6,0.13,0.76
2026-06-01T00:08:30Z,24.8,59.3,0.64,0.27
2026-06-01T00:09:00Z,15.38,53.7,0.05,0.23
2026-06-01T00:09:30Z,26.96,29.5,0.36,0.67
2026-06-01T00:10:00Z,24.57,25.6,0.42,0.08
2026-06-01T00:10:30Z,21.43,56.4,0.38,0.68
2026-06-01T00:11:00Z,29.28,31.9,0.55,0.8
2026-06-01T00:11:30Z,22.5,54.0,0.48,0.33
2026-06-01T00:12:00Z,28.25,48.2,0.53,0.36
2026-06-01T00:12:30Z,27.1,43.2,0.56,0.12
2026-06-01T00:13:00Z,23.45,36.1,0.58,0.04
2026-06-01T00:13:30Z,20.34,46.9,0.11,0.95
2026-06-01T00:14:00Z,19.02,58.4,0.78,0.99
2026-06-01T00:14:30Z,20.68,20.0,0.69,0.08
2026-06-01T00:15:00Z,25.03,21.3,0.5,0.98
2026-06-01T00:15:30Z,24.88,20.0,0.02,0.58
2026-06-01T00:16:00Z,14.1,29.3,0.06,0.06
2026-06-01T00:16:30Z,26.5,20.0,0.58,0.67
2026-06-01T00:17:00Z,28.65,20.0,0.56,0.47
2026-06-01T00:17:30Z,22.39,42.1,0.15,0.19
2026-06-01T00:18:00Z,13.81,60.5,0.78,0.46
2026-06-01T00:18:30Z,21.1,32.3,0.4,0.92
2026-06-01T00:19:00Z,21.72,44.2,0.21,0.42
2026-06-01T00:19:30Z,25.55,28.2,0.17,0.99
2026-06-01T00:20:00Z,17.37,45.2,0.79,0.56
2026-06-01T00:20:30Z,22.41,54.8,0.79,0.72
2026-06-01T00:21:00Z,24.97,70.6,0.54,0.69
2026-06-01T00:21:30Z,24.57,56.7,0.31,0.79
