timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate
2026-06-01T00:00:00Z,16.45,67.7,0.02,0.26
2026-06-01T00:00:30Z,19.36,79.3,0.33,0.1
2026-06-01T00:01:00Z,17.17,72.3,0.03,0.44
2026-06-01T00:01:30Z,13.04,55.9,0.17,0.29
2026-06-01T00:02:00Z,14.55,55.9,0.23,0.29
2026-06-01T00:02:30Z,17.64,53.2,0.36,0.13
2026-06-01T00:03:00Z,12.77,49.9,0.12,0.28
2026-06-01T00:03:30Z,14.11,40.0,0.18,0.44
2026-06-01T00:04:00Z,15.54,58.4,0.1,0.41
2026-06-01T00:04:30Z,14.98,71.0,0.08,0.32
2026-06-01T00:05:00Z,16.4,66.9,0.18,0.03
2026-06-01T00:05:30Z,15.89,44.1,0.24,0.47
2026-06-01T00:06:00Z,13.52,58.8,0.13,0.29
2026-06-01T00:06:30Z,14.47,53.2,0.02,0.41
2026-06-01T00:07:00Z,17.78,64.1,0.0,0.49
2026-06-01T00:07:30Z,14.11,40.0,0.18,0.0
2026-06-01T00:08:00Z,14.96,94.3,0.29,0.37
2026-06-01T00:08:30Z,15.91,40.0,0.01,0.5
2026-06-01T00:09:00Z,15.12,91.4,0.27,0.34
2026-06-01T00:09:30Z,16.13,51.4,0.24,0.02
2026-06-01T00:10:00Z,18.57,66.3,0.05,0.31
2026-06-01T00:10:30Z,19.6,53.7,0.15,0.12
2026-06-01T00:11:00Z,13.17,68.3,0.25,0.46
2026-06-01T00:11:30Z,17.3,94.2,0.13,0.45
2026-06-01T00:12:00Z,15.14,87.5,0.13,0.47
2026-06-01T00:12:30Z,14.64,94.8,0.23,0.1
2026-06-01T00:13:00Z,14.45,40.0,0.07,0.3
2026-06-01T00:13:30Z,14.11,50.3,0.32,0.46
2026-06-01T00:14:00Z,15.44,40.0,0.18,0.07
2026-06-01T00:14:30Z,10.92,57.8,0.21,0.33
2026-06-01T00:15:00Z,15.47,52.1,0.18,0.34
2026-06-01T00:15:30Z,17.56,74.0,0.37,0.36
2026-06-01T00:16:00Z,17.66,64.0,0.14,0.15
2026-06-01T00:16:30Z,13.98,51.7,0.06,0.46
2026-06-01T00:17:00Z,14.43,68.8,0.28,0.09
2026-06-01T00:17:30Z,15.16,68.8,0.17,0.33
2026-06-01T00:18:00Z,14.4,40.0,0.38,0.04
2026-06-01T00:18:30Z,11.63,73.5,0.36,0.15
2026-06-01T00:19:00Z,11.56,78.0,0.2,0.15
2026-06-01T00:19:30Z,17.38,79.0,0.09,0.34
2026-06-01T00:20:00Z,13.84,62.9,0.02,0.18
2026-06-01T00:20:30Z,14.29,64.3,0.2,0.18
2026-06-01T00:21:00Z,13.34,60.3,0.3,0.48
2026-06-01T00:21:30Z,19.12,47.4,0.33,0.31
2026-06-01T00:22:00Z,15.35,51.6,0.04,0.11
2026-06-01T00:22:30Z,15.0,103.7,0.28,0.33
2026-06-01T00:23:00Z,17.46,40.0,0.32,0.15
2026-06-01T00:23:30Z,13.4,73.6,0.0,0.48
2026-06-01T00:24:00Z,16.42,73.9,0.23,0.04
2026-06-01T00:24:30Z,14.47,42.1,0.3,0.44
2026-06-01T00:25:00Z,18.1,68.3,0.18,0.16
2026-06-01T00:25:30Z,15.09,96.3,0.32,0.3
2026-06-01T00:26:00Z,14.04,69.3,0.09,0.13
2026-06-01T00:26:30Z,18.34,66.6,0.19,0.07
2026-06-01T00:27:00Z,10.63,40.0,0.01,0.4
