timestamp,http_requests_per_sec,http_p99_latency_ms,cpu_usage_percent,http_5xx_rate
2026-06-01T00:00:00Z,27.7,59.9,17.28,0.0
2026-06-01T00:00:30Z,33.69,41.6,12.81,1.13
2026-06-01T00:01:00Z,27.14,32.5,18.07,0.0
2026-06-01T00:01:30Z,32.38,25.8,14.37,0.0
2026-06-01T00:02:00Z,31.89,54.6,14.1,0.0
2026-06-01T00:02:30Z,28.22,53.0,21.85,0.38
2026-06-01T00:03:00Z,33.53,25.1,17.77,1.5
2026-06-01T00:03:30Z,33.5,30.3,21.48,0.86
2026-06-01T00:04:00Z,33.27,20.0,21.08,0.0
2026-06-01T00:04:30Z,35.1,50.6,22.29,0.0
2026-06-01T00:05:00Z,30.87,57.1,18.2,0.93
2026-06-01T00:05:30Z,27.57,28.5,21.75,0.43
2026-06-01T00:06:00Z,32.49,51.4,7.04,0.0
2026-06-01T00:06:30Z,25.02,56.6,21.01,0.0
2026-06-01T00:07:00Z,33.17,72.3,25.77,0.0
2026-06-01T00:07:30Z,32.1,25.4,21.88,0.0
2026-06-01T00:08:00Z,29.77,34.9,30.35,0.0
2026-06-01T00:08:30Z,33.21,35.3,26.47,0.0
2026-06-01T00:09:00Z,31.93,21.6,17.45,0.55
2026-06-01T00:09:30Z,27.72,42.7,18.94,0.0
2026-06-01T00:10:00Z,34.82,20.0,25.98,0.0
2026-06-01T00:10:30Z,40.97,91.4,16.35,0.14
2026-06-01T00:11:00Z,31.87,25.2,11.78,0.62
2026-06-01T00:11:30Z,25.5,20.0,26.21,0.41
2026-06-01T00:12:00Z,31.86,30.1,11.31,0.0
2026-06-01T00:12:30Z,37.43,20.0,17.75,0.0
2026-06-01T00:13:00Z,30.4,61.4,27.76,1.17
2026-06-01T00:13:30Z,36.49,20.0,15.32,0.0
2026-06-01T00:14:00Z,36.76,42.8,22.28,1.5
2026-06-01T00:14:30Z,36.02,50.0,12.85,1.0
2026-06-01T00:15:00Z,31.73,57.4,23.52,0.8
2026-06-01T00:15:30Z,31.45,30.3,9.36,0.97
2026-06-01T00:16:00Z,28.24,20.8,6.87,0.73
2026-06-01T00:16:30Z,26.26,33.1,19.85,0.29
2026-06-01T00:17:00Z,21.72,28.4,10.97,0.0
2026-06-01T00:17:30Z,32.21,25.9,7.25,0.0
2026-06-01T00:18:00Z,34.52,43.4,15.57,0.0
2026-06-01T00:18:30Z,28.82,20.0,16.87,0.0
2026-06-01T00:19:00Z,28.54,21.8,41.53,0.0
2026-06-01T00:19:30Z,35.31,23.7,22.78,0.0
2026-06-01T00:20:00Z,25.21,38.8,19.61,0.0
2026-06-01T00:20:30Z,27.04,39.1,17.08,0.64
2026-06-01T00:21:00Z,25.62,64.8,24.88,0.0
2026-06-01T00:21:30Z,39.01,21.6,17.42,0.24
2026-06-01T00:22:00Z,26.39,20.0,12.47,0.07
2026-06-01T00:22:30Z,34.71,20.0,5.93,0.0
2026-06-01T00:23:00Z,34.32,55.8,24.42,1.5
2026-06-01T00:23:30Z,27.34,30.5,18.19,1.36
2026-06-01T00:24:00Z,25.73,25.1,21.92,0.0
2026-06-01T00:24:30Z,30.97,40.2,11.58,0.29
2026-06-01T00:25:00Z,31.74,20.0,22.85,0.0
2026-06-01T00:25:30Z,31.18,23.8,4.7,0.0
2026-06-01T00:26:00Z,25.66,46.6,20.21,1.31
2026-06-01T00:26:30Z,23.81,44.3,23.5,0.8
2026-06-01T00:27:00Z,26.07,44.3,29.17,1.29
2026-06-01T00:27:30Z,35.48,39.5,5.98,0.81
2026-06-01T00:28:00Z,32.73,60.3,16.53,0.0
2026-06-01T00:28:30Z,36.04,20.0,7.99,1.5
2026-06-01T00:29:00Z,31.68,31.8,22.55,0.0
2026-06-01T00:29:30Z,24.96,33.3,25.2,0.99
2026-06-01T00:30:00Z,33.17,54.8,11.38,0.0
2026-06-01T00:30:30Z,28.56,20.0,11.42,0.5
2026-06-01T00:31:00Z,37.44,44.5,12.21,0.0
2026-06-01T00:31:30Z,30.28,34.3,21.51,0.0
2026-06-01T00:32:00Z,27.41,45.4,9.51,0.0
2026-06-01T00:32:30Z,24.12,32.1,21.05,0.59
2026-06-01T00:33:00Z,29.51,69.9,19.26,0.9
2026-06-01T00:33:30Z,26.79,20.0,19.93,0.0
2026-06-01T00:34:00Z,27.95,48.0,5.37,1.33
2026-06-01T00:34:30Z,28.81,20.0,10.47,0.92
2026-06-01T00:35:00Z,32.61,81.1,17.82,0.0
2026-06-01T00:35:30Z,29.61,27.0,14.13,0.44
2026-06-01T00:36:00Z,30.05,20.0,18.73,0.0
2026-06-01T00:36:30Z,28.87,20.0,9.14,0.0
2026-06-01T00:37:00Z,30.93,21.4,25.06,0.0
2026-06-01T00:37:30Z,26.9,40.5,29.23,0.0
2026-06-01T00:38:00Z,21.45,28.8,18.65,0.0
2026-06-01T00:38:30Z,24.65,45.9,9.51,0.0
2026-06-01T00:39:00Z,36.39,65.3,22.21,0.0
2026-06-01T00:39:30Z,30.31,43.2,25.32,0.0
2026-06-01T00:40:00Z,34.9,81.0,15.29,0.0
2026-06-01T00:40:30Z,33.11,60.2,21.64,0.07
2026-06-01T00:41:00Z,35.26,26.1,23.3,0.16
2026-06-01T00:41:30Z,30.46,32.9,23.17,0.49
2026-06-01T00:42:00Z,28.01,27.9,2.22,1.02
2026-06-01T00:42:30Z,29.98,37.5,27.62,0.25
2026-06-01T00:43:00Z,29.71,20.0,17.49,0.0
2026-06-01T00:43:30Z,24.85,20.0,19.52,0.87
2026-06-01T00:44:00Z,29.87,58.8,15.88,0.55
2026-06-01T00:44:30Z,23.44,40.7,16.2,0.79
2026-06-01T00:45:00Z,31.31,43.3,25.24,1.5
2026-06-01T00:45:30Z,30.61,30.9,5.1,0.0
2026-06-01T00:46:00Z,32.94,62.2,18.48,0.0
2026-06-01T00:46:30Z,33.1,51.9,23.37,1.5
2026-06-01T00:47:00Z,25.74,22.6,14.77,0.32
2026-06-01T00:47:30Z,24.13,20.0,12.02,0.45
